fs_time,time,weight,lnV0,beta,phi,rho,k,delta,pi,c,T,E,I,R,V,next_event,next_time
21.0,7.0,0.1534250441042147,4.837639819098618,7.401626667998528,5.857673107614985,0.02388097083461961,4.0,2.467594097317358,377.30826527919754,10.0,100.0,857.246368305465,9999.461351644237,3841.162635759823,472380.33269271965,0,0.0
21.0,7.0,0.12401244720298626,4.691198349777932,6.944295113414922,4.474187387869925,0.023896621803615296,4.0,2.3467198309993154,371.1729444570717,10.0,100.0,1190.4408676451367,14770.731124889071,5065.700726406485,678040.1059331193,0,0.0
21.0,7.0,0.09892947061154236,4.797733486134738,6.949230489013407,3.727236457171164,0.027463266155170148,4.0,2.239482248167287,361.145608984686,10.0,137.0179709720385,1599.4350176828873,20958.131940866962,6540.192686280869,925924.7367881497,0,0.0
21.0,7.0,0.0809839588586642,4.5813779617159325,8.674609902094987,9.382471095354735,0.017523221741209558,4.0,2.191693177888304,399.68404927160805,10.0,38.0,1792.302941254246,24052.52882174316,7079.067028390328,1170303.7074694852,0,0.0
21.0,7.0,0.14982005573609256,4.585608527633639,7.827590410248106,8.044988234356605,0.017809449929731762,4.0,2.4795886544723533,394.8047541532719,10.0,46.0,829.2719171459114,9617.285480096454,3787.0614148116497,475984.66697285813,0,0.0
21.0,7.0,0.12752907831215074,4.476889330352022,8.416954944808621,9.40142621247527,0.015842117846399658,4.0,2.38625787931908,400.0,10.0,29.0,1057.3956466972027,12842.10478255393,4585.435241389992,637808.0147091972,0,0.0
21.0,7.0,0.0790105954235605,4.2138768691073345,8.484494952420414,9.422046501918006,0.012643953618580069,4.0,2.1823259198613694,400.0,10.0,25.0,1835.9060600764906,24752.14023844881,7216.23391014312,1204142.5468491765,0,0.0
21.0,7.0,1.3164873048274215e-06,1.9478671119965854,5.303507081600579,0.0001,0.0001,4.0,1.0,378.0041993301483,10.0,204.17015112747012,390761.4176454237,12933862.450339006,695610.5935097797,532340539.810486,0,0.0
21.0,8.0,0.08926942820339669,4.555866655324861,6.918882798191407,3.9997245754576647,0.022162807448577133,4.0,2.215250934657588,371.4453112553817,10.0,100.0,412.50653979754287,5327.387480702725,1699.3228474527214,241135.8785832986,0,0.0
21.0,8.0,0.09578920722221297,4.539738383042671,7.093964347128492,4.557655926578601,0.022596555019911625,4.0,2.2337573603016994,372.5342376639806,10.0,100.0,387.2887117761756,4950.477358975378,1611.090536981775,225141.54127114578,0,0.0
21.0,8.0,0.15415049342768325,4.837639819098618,7.401626667998528,5.857673107614985,0.02388097083461961,4.0,2.467594097317358,377.30826527919754,10.0,91.0,183.03665481979178,2060.3074088519525,866.246368305465,97118.9684417137,0,0.0
21.0,8.0,0.12616747283153512,4.691198349777932,6.944295113414922,4.474187387869925,0.023896621803615296,4.0,2.3467198309993154,371.1729444570717,10.0,100.0,270.3861092878506,3249.020914270726,1190.3971322388484,148871.75362304496,0,0.0
21.0,8.0,0.09893728746974985,4.797733486134738,6.949230489013407,3.727236457171164,0.027463266155170148,4.0,2.239482248167287,361.145608984686,10.0,132.03967024656566,383.7014801650485,4895.729724193365,1604.019560922598,215983.30594866027,0,0.0
21.0,8.0,0.07880349486150415,4.5813779617159325,8.674609902094987,9.382471095354735,0.017523221741209558,4.0,2.191693177888304,399.68404927160805,10.0,36.0,440.2731567900468,5759.893218395835,1794.302941254246,279881.37580939796,0,0.0
21.0,8.0,0.15056437481842178,4.585608527633639,7.827590410248106,8.044988234356605,0.017809449929731762,4.0,2.4795886544723533,394.8047541532719,10.0,52.0,176.04105869506185,1973.179933356661,823.2719171459114,97454.13476069618,0,0.0
21.0,8.0,0.12977974405916623,4.476889330352022,8.416954944808621,9.40142621247527,0.015842117846399658,4.0,2.38625787931908,400.0,10.0,28.0,235.07025204486624,2765.8685274147792,1058.3956466972027,137114.41591066858,0,0.0
21.0,8.0,0.07653849057468347,4.2138768691073345,8.484494952420414,9.422046501918006,0.012643953618580069,4.0,2.1823259198613694,400.0,10.0,20.0,453.9118862932029,5958.416037501669,1839.9060600764906,289483.3030391138,0,0.0
21.0,8.0,6.531646421095945e-09,1.9478671119965854,5.303507081600579,0.0001,0.0001,4.0,1.0,378.0041993301483,10.0,100.0,236767.48616538863,6284002.481537282,390740.46915852104,257340648.74825966,0,0.0
21.0,9.0,0.10595435322692275,4.555866655324861,6.918882798191407,3.9997245754576647,0.022162807448577133,4.0,2.215250934657588,371.4453112553817,10.0,100.0,99.0,1268.1110146704623,412.0,57489.08092943308,0,0.0
21.0,9.0,0.1108405039022989,4.539738383042671,7.093964347128492,4.557655926578601,0.022596555019911625,4.0,2.2337573603016994,372.5342376639806,10.0,100.0,94.0,1164.8579540850674,387.0,53133.4717923927,0,0.0
21.0,9.0,0.1186118900531146,4.837639819098618,7.401626667998528,5.857673107614985,0.02388097083461961,4.0,2.467594097317358,377.30826527919754,10.0,88.0,44.0,426.8279155218655,186.03665481979178,20170.47123548063,0,0.0
21.0,9.0,0.12222257276997446,4.691198349777932,6.944295113414922,4.474187387869925,0.023896621803615296,4.0,2.3467198309993154,371.1729444570717,10.0,100.0,61.0,720.5700341000476,270.3861092878506,33064.46064012272,0,0.0
21.0,9.0,0.11281586604787566,4.797733486134738,6.949230489013407,3.727236457171164,0.027463266155170148,4.0,2.239482248167287,361.145608984686,10.0,131.0,88.0,1153.2885628546367,384.7172808589917,50850.330100379884,0,0.0
21.0,9.0,0.09818264162368465,4.5813779617159325,8.674609902094987,9.382471095354735,0.017523221741209558,4.0,2.191693177888304,399.68404927160805,10.0,36.0,105.4328378039092,1390.3959538137365,440.2731567900468,67589.7872447979,0,0.0
21.0,9.0,0.11502121204799874,4.585608527633639,7.827590410248106,8.044988234356605,0.017809449929731762,4.0,2.4795886544723533,394.8047541532719,10.0,52.0,50.0,398.65333244751105,176.04105869506185,19889.789923173812,0,0.0
21.0,9.0,0.11994015812575,4.476889330352022,8.416954944808621,9.40142621247527,0.015842117846399658,4.0,2.38625787931908,400.0,10.0,29.0,62.0,593.3563260772345,234.07025204486624,29633.23790506785,0,0.0
21.0,9.0,0.09641080187202165,4.2138768691073345,8.484494952420414,9.422046501918006,0.012643953618580069,4.0,2.1823259198613694,400.0,10.0,20.0,109.0667288143046,1445.88104732915,453.9118862932029,70277.80848031788,0,0.0
21.0,9.0,3.3035878504975124e-10,1.9478671119965854,5.303507081600579,0.0001,0.0001,4.0,1.0,378.0041993301483,10.0,100.0,115040.90464453764,3072557.5811406653,236766.26132914555,125846546.60057597,0,0.0
21.0,10.0,0.1520362976518703,4.555866655324861,6.918882798191407,3.9997245754576647,0.022162807448577133,4.0,2.215250934657588,371.4453112553817,10.0,100.0,19.0,306.65157943557654,99.0,13791.236451775058,0,0.0
21.0,10.0,0.1422348528881315,4.539738383042671,7.093964347128492,4.557655926578601,0.022596555019911625,4.0,2.2337573603016994,372.5342376639806,10.0,100.0,18.0,278.3129446143951,94.0,12594.934767934734,0,0.0
21.0,10.0,0.036618410142408915,4.837639819098618,7.401626667998528,5.857673107614985,0.02388097083461961,4.0,2.467594097317358,377.30826527919754,10.0,88.0,12.0,90.0,44.0,4349.926501806985,0,0.0
21.0,10.0,0.07961866893689303,4.691198349777932,6.944295113414922,4.474187387869925,0.023896621803615296,4.0,2.3467198309993154,371.1729444570717,10.0,99.0,8.0,163.93300376402917,62.0,7444.58858069165,0,0.0
21.0,10.0,0.13599283952121707,4.797733486134738,6.949230489013407,3.727236457171164,0.027463266155170148,4.0,2.239482248167287,361.145608984686,10.0,130.0,22.0,275.075412872959,89.0,11977.651840327408,0,0.0
21.0,10.0,0.17409692864813428,4.5813779617159325,8.674609902094987,9.382471095354735,0.017523221741209558,4.0,2.191693177888304,399.68404927160805,10.0,38.0,22.0,339.6064507815604,103.4328378039092,16436.84565117118,0,0.0
21.0,10.0,0.0351766910701977,4.585608527633639,7.827590410248106,8.044988234356605,0.017809449929731762,4.0,2.4795886544723533,394.8047541532719,10.0,51.0,3.0,86.0,51.0,4321.560670055167,0,0.0
21.0,10.0,0.06413221642949939,4.476889330352022,8.416954944808621,9.40142621247527,0.015842117846399658,4.0,2.38625787931908,400.0,10.0,30.0,11.0,129.60771360614507,61.0,6433.548722624166,0,0.0
21.0,10.0,0.18009307716692377,4.2138768691073345,8.484494952420414,9.422046501918006,0.012643953618580069,4.0,2.1823259198613694,400.0,10.0,20.0,25.0,351.6511786076733,109.0667288143046,17174.941008022597,0,0.0
21.0,10.0,1.7544724081404956e-08,1.9478671119965854,5.303507081600579,0.0001,0.0001,4.0,1.0,378.0041993301483,10.0,100.0,56248.697271997204,1519138.5328457803,115039.61998054305,62238689.20746083,0,0.0
21.0,11.0,0.07662792920294813,4.555866655324861,6.918882798191407,3.9997245754576647,0.022162807448577133,4.0,2.215250934657588,371.4453112553817,10.0,101.0,2.0,75.0,18.0,3448.725900320688,0,0.0
21.0,11.0,0.08996095780932292,4.539738383042671,7.093964347128492,4.557655926578601,0.022596555019911625,4.0,2.2337573603016994,372.5342376639806,10.0,103.0,7.0,64.0,15.0,3041.468274524655,0,0.0
21.0,11.0,0.18880773352292587,4.837639819098618,7.401626667998528,5.857673107614985,0.02388097083461961,4.0,2.467594097317358,377.30826527919754,10.0,88.0,3.0,21.0,12.0,870.32519779995,0,0.0
21.0,11.0,0.10303252578535649,4.691198349777932,6.944295113414922,4.474187387869925,0.023896621803615296,4.0,2.3467198309993154,371.1729444570717,10.0,100.0,5.0,45.0,7.0,2023.396962637881,0,0.0
21.0,11.0,0.088371090892779,4.797733486134738,6.949230489013407,3.727236457171164,0.027463266155170148,4.0,2.239482248167287,361.145608984686,10.0,130.0,5.0,68.0,22.0,2995.9475508366904,0,0.0
21.0,11.0,0.06539179288496914,4.5813779617159325,8.674609902094987,9.382471095354735,0.017523221741209558,4.0,2.191693177888304,399.68404927160805,10.0,38.0,8.0,88.0,22.0,4048.5518211988137,0,0.0
21.0,11.0,0.1347348610802439,4.585608527633639,7.827590410248106,8.044988234356605,0.017809449929731762,4.0,2.4795886544723533,394.8047541532719,10.0,51.0,1.0,23.0,3.0,1050.8856508446745,0,0.0
21.0,11.0,0.1860919978887195,4.476889330352022,8.416954944808621,9.40142621247527,0.015842117846399658,4.0,2.38625787931908,400.0,10.0,30.0,2.6077136061450688,27.0,11.0,1248.5591114692413,0,0.0
21.0,11.0,0.06698111093273512,4.2138768691073345,8.484494952420414,9.422046501918006,0.012643953618580069,4.0,2.1823259198613694,400.0,10.0,20.0,12.0,83.0,25.0,4070.166829508512,0,0.0
21.0,11.0,2.36911233575554e-19,1.9478671119965854,5.303507081600579,0.0001,0.0001,4.0,1.0,378.0041993301483,10.0,85.0,27810.732585574373,750341.6703999989,56245.697271997204,30740536.84442467,0,0.0
21.0,12.0,0.04867921691254993,4.555866655324861,6.918882798191407,3.9997245754576647,0.022162807448577133,4.0,2.215250934657588,371.4453112553817,10.0,101.0,2.0,18.0,2.0,892.0773981318148,0,0.0
