unit,time,prob,ymin,ymax
I,62.0,12,4668.0,4814.0
I,62.0,0,4741.0,4741.0
I,63.0,95,4307.0,6418.0
I,63.0,87,4520.0,6149.0
I,63.0,75,4698.0,5936.0
I,63.0,62,4835.0,5779.0
I,63.0,50,4938.0,5664.0
I,63.0,37,5038.0,5556.0
I,63.0,25,5123.0,5466.0
I,63.0,12,5212.0,5374.0
I,63.0,0,5293.0,5293.0
I,64.0,95,4791.0,7137.0
I,64.0,87,5027.0,6838.0
I,64.0,75,5225.0,6601.0
I,64.0,62,5377.0,6427.0
I,64.0,50,5492.0,6299.0
I,64.0,37,5603.0,6179.0
I,64.0,25,5698.0,6079.0
I,64.0,12,5797.0,5977.0
I,64.0,0,5886.0,5886.0
I,65.0,95,5307.0,7903.0
I,65.0,87,5568.0,7573.0
I,65.0,75,5787.0,7310.0
I,65.0,62,5955.0,7117.0
I,65.0,50,6083.0,6975.0
I,65.0,37,6205.0,6843.0
I,65.0,25,6310.0,6732.0
I,65.0,12,6420.0,6619.0
I,65.0,0,6519.0,6519.0
I,66.0,95,5850.0,8711.0
I,66.0,87,6138.0,8347.0
I,66.0,75,6380.0,8058.0
I,66.0,62,6565.0,7845.0
I,66.0,50,6706.0,7689.0
I,66.0,37,6841.0,7543.0
I,66.0,25,6957.0,7421.0
I,66.0,12,7077.0,7297.0
I,66.0,0,7186.0,7186.0
I,67.0,95,6418.0,9555.0
I,67.0,87,6733.0,9156.0
I,67.0,75,6999.0,8838.0
I,67.0,62,7202.0,8605.0
I,67.0,50,7356.0,8434.0
I,67.0,37,7504.0,8274.0
I,67.0,25,7631.0,8140.0
I,67.0,12,7763.0,8004.0
I,67.0,0,7883.0,7883.0
I,68.0,95,7002.0,10425.0
I,68.0,87,7347.0,9990.0
I,68.0,75,7636.0,9643.0
I,68.0,62,7857.0,9389.0
I,68.0,50,8026.0,9202.0
I,68.0,37,8187.0,9027.0
I,68.0,25,8326.0,8881.0
I,68.0,12,8469.0,8733.0
I,68.0,0,8600.0,8600.0
I,69.0,95,7597.0,11311.0
I,69.0,87,7970.0,10838.0
I,69.0,75,8284.0,10462.0
I,69.0,62,8524.0,10186.0
I,69.0,50,8707.0,9983.0
I,69.0,37,8882.0,9794.0
I,69.0,25,9032.0,9635.0
I,69.0,12,9188.0,9474.0
I,69.0,0,9330.0,9330.0
I,70.0,95,8192.0,12199.0
I,70.0,87,8595.0,11689.0
I,70.0,75,8933.0,11283.0
I,70.0,62,9192.0,10985.0
I,70.0,50,9389.0,10767.0
I,70.0,37,9578.0,10562.0
I,70.0,25,9740.0,10391.0
I,70.0,12,9909.0,10217.0
I,70.0,0,10062.0,10062.0
I,71.0,95,8779.0,13075.0
I,71.0,87,9210.0,12528.0
I,71.0,75,9573.0,12092.0
I,71.0,62,9851.0,11773.0
I,71.0,50,10062.0,11539.0
I,71.0,37,10264.0,11319.0
I,71.0,25,10438.0,11136.0
I,71.0,12,10619.0,10949.0
I,71.0,0,10783.0,10783.0
I,72.0,95,9346.0,13924.0
I,72.0,87,9805.0,13340.0
I,72.0,75,10192.0,12876.0
I,72.0,62,10488.0,12536.0
I,72.0,50,10712.0,12286.0
I,72.0,37,10928.0,12052.0
I,72.0,25,11113.0,11856.0
I,72.0,12,11306.0,11658.0
I,72.0,0,11481.0,11481.0
I,73.0,95,9883.0,14729.0
I,73.0,87,10369.0,14110.0
I,73.0,75,10777.0,13619.0
I,73.0,62,11091.0,13259.0
I,73.0,50,11328.0,12994.0
I,73.0,37,11557.0,12746.0
I,73.0,25,11753.0,12539.0
I,73.0,12,11956.0,12329.0
I,73.0,0,12142.0,12142.0
I,74.0,95,10380.0,15475.0
I,74.0,87,10891.0,14824.0
I,74.0,75,11320.0,14307.0
I,74.0,62,11650.0,13929.0
I,74.0,50,11899.0,13650.0
I,74.0,37,12140.0,13390.0
I,74.0,25,12345.0,13172.0
I,74.0,12,12560.0,12951.0
I,74.0,0,12754.0,12754.0
I,75.0,95,10828.0,16146.0
I,75.0,87,11361.0,15467.0
I,75.0,75,11809.0,14927.0
I,75.0,62,12153.0,14532.0
I,75.0,50,12413.0,14241.0
I,75.0,37,12664.0,13969.0
I,75.0,25,12879.0,13742.0
I,75.0,12,13102.0,13511.0
I,75.0,0,13306.0,13306.0
I,76.0,95,11217.0,16730.0
I,76.0,87,11769.0,16025.0
I,76.0,75,12234.0,15466.0
I,76.0,62,12590.0,15056.0
I,76.0,50,12860.0,14754.0
I,76.0,37,13120.0,14473.0
I,76.0,25,13342.0,14237.0
I,76.0,12,13574.0,13998.0
I,76.0,0,13785.0,13785.0
I,77.0,95,11540.0,17215.0
I,77.0,87,12109.0,16490.0
I,77.0,75,12586.0,15913.0
I,77.0,62,12953.0,15491.0
I,77.0,50,13231.0,15181.0
I,77.0,37,13498.0,14891.0
I,77.0,25,13728.0,14649.0
I,77.0,12,13966.0,14402.0
I,77.0,0,14183.0,14183.0
I,78.0,95,11792.0,17593.0
I,78.0,87,12373.0,16852.0
I,78.0,75,12862.0,16263.0
I,78.0,62,13236.0,15831.0
I,78.0,50,13520.0,15514.0
I,78.0,37,13794.0,15217.0
I,78.0,25,14028.0,14970.0
I,78.0,12,14272.0,14718.0
I,78.0,0,14494.0,14494.0
I,79.0,95,11969.0,17860.0
I,79.0,87,12559.0,17107.0
I,79.0,75,13055.0,16509.0
I,79.0,62,13436.0,16071.0
I,79.0,50,13724.0,15749.0
I,79.0,37,14002.0,15448.0
I,79.0,25,14240.0,15196.0
I,79.0,12,14487.0,14940.0
I,79.0,0,14713.0,14713.0
I,80.0,95,12071.0,18014.0
I,80.0,87,12666.0,17254.0
I,80.0,75,13167.0,16651.0
I,80.0,62,13550.0,16208.0
I,80.0,50,13841.0,15884.0
I,80.0,37,14121.0,15580.0
I,80.0,25,14361.0,15326.0
I,80.0,12,14611.0,15068.0
I,80.0,0,14838.0,14838.0
I,81.0,95,12098.0,18056.0
I,81.0,87,12695.0,17294.0
I,81.0,75,13196.0,16689.0
I,81.0,62,13581.0,16246.0
I,81.0,50,13873.0,15920.0
I,81.0,37,14153.0,15615.0
I,81.0,25,14394.0,15361.0
I,81.0,12,14644.0,15102.0
I,81.0,0,14872.0,14872.0
I,82.0,95,12052.0,17990.0
I,82.0,87,12647.0,17231.0
I,82.0,75,13147.0,16628.0
I,82.0,62,13530.0,16186.0
I,82.0,50,13821.0,15861.0
I,82.0,37,14101.0,15558.0
I,82.0,25,14340.0,15304.0
I,82.0,12,14590.0,15047.0
I,82.0,0,14817.0,14817.0
I,83.0,95,11939.0,17823.0
I,83.0,87,12528.0,17071.0
I,83.0,75,13024.0,16473.0
I,83.0,62,13403.0,16035.0
I,83.0,50,13692.0,15714.0
I,83.0,37,13969.0,15413.0
I,83.0,25,14207.0,15162.0
I,83.0,12,14454.0,14906.0
I,83.0,0,14679.0,14679.0
I,84.0,95,11764.0,17563.0
I,84.0,87,12344.0,16821.0
I,84.0,75,12832.0,16232.0
I,84.0,62,13207.0,15801.0
I,84.0,50,13491.0,15484.0
I,84.0,37,13764.0,15187.0
